0;Fields group;Management of the resource;;;;;;;;;;;;Metadata of the text (description of item);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Link(s) to related resources;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;;;;;Text type;;;;Language(s) and script(s);;;;;;;;;;;;Physical form;;;;;;;;;;;Filiation;;;;;;;Rights;;;;;;;;;;;;;;;
0;Fields;Identifier of the resource;Origin of the metadata;Editor of the metadata;Date of the edition;Contributor of the metadata;Date of contribution;Type of contribution;Reviewer;Date of review;Project;Corpus;Distribution rights of the metadata;Identifier of the text;Designation;Alternative identifier;Alternative designation;Alternative designation;Location on the artefact/conglomerate artefact/monument;ID of the artefact/conglomerate artefact/monument;Text type 1;Text type 2;Text type 3;Text type 4;Language 1;Script classification 1;Script maturity 1;Language 2;Script classification 2;Script maturity 2;Language 3;Script classification 3;Script maturity 3;Language 4;Script classification 4;Script maturity 4;Lettering technique;Lines (observed);Lines (estimated);Lines per zone(s);Dimensions of text zone(s);Height of glyph;Width of glyph;Date CE;Date interval CE;Date precision;Date evidence;Duplicate ID;Reissue ID;Reissue date;Bibliographical references (primary);Bibliographical references (secondary);Keyword(s);Remarks;Project responsible for publication;Distribution rights of the text;Identifier of the surrogate;Identifier of the digital image;;;;;;;;;;;;
;;INSCIC00242;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00242;;*242;;;;ARTCIC000242;;;;;;;;;;;;;;;;;engraved;;;;;;;;;;;;;;Skilling, Southworth & Trần Kỳ Phương 2010.;;;à compléter;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00243;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00243;;*243;;;;ARTCIC000243;;;;;;;;;;;;;;;;;engraved;;7+;;;;;;;;;;;;Skilling, BEFEO 2003–04: 285-287, n° 1;Skilling, Southworth & TKP 2010: 489;;ye dharmāḥ;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00244;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00244;;*244;;;;ARTCIC000244;;;;;;;;;;;;;;;;;engraved;;4+;;;;;;;;;;;;Skilling, BEFEO 2003–04: 285-287, n° 2;Skilling, Southworth & TKP 2010: 489;;ye dharmāḥ;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00245_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00245_1;;*245;;;A;ARTCIC000245;;;;;Old Cham;;;;;;;;;;;;engraved;;9;;;;;;;;;;;;;;;documents sent by TKP, Alex Giang and TP;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00245_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00245_2;;*245;;;B;ARTCIC000245;;;;;Old Cham;;;;;;;;;;;;engraved;;8;;;;;;;;;;;;;;;documents sent by TKP, Alex Giang and TP;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00246;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00246;;*246;;;;ARTCIC000246;;;;;Sanskrit;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;;;;photos Thanh Phan;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00247;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00247;;*247;;;;ARTCIC000247;;;;;Old Cham;;;;;;;;;;;;incised;;;;;;;;;;;;;;;;;Photos Mandeville;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00248;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00248;;*248;;;;ARTCIC000248;;;;;Sanskrit;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;BEFEO 106;;mukha;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00249;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00249;;*249;;;;ARTCIC000249;;;;;Sanskrit;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;BEFEO 106;;mukha;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00250;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00250;;*250;;;;ARTCIC000250;;;;;Sanskrit;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;BEFEO 106;;mukha;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00251;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00251;;*251;;;;ARTCIC000251;;;;;Sanskrit;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;BEFEO 106;;Agnīya;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00252;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00252;;*252;;;;ARTCIC000252;;;;;Sanskrit;;;Old Cham;;;;;;;;;engraved;;;;;;;;;;;;;;;Nguyễn Văn Quảng 2012: 65.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00253;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00253;;*KhuongMy;;;;ARTCIC000253;;;;;Old Cham;;;;;;;;;;;;engraved;;;;;;;;;;;;;;ECIC IX, 31-32;ICDN, 239.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00254;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00254;;*KhuongMy;;;;ARTCIC000254;;;;;Old Cham;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;ECIC IX, 37;;;photo d'est. labellisé 07.KM.N.T.74 communiqué par TKP;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00255;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00255;;*KhuongMy;;;;ARTCIC000255;;;;;Old Cham;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;ECIC IX, 37;;;photo d'est. labellisé 07.KM.N.T.113 communiqué par TKP;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00256_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00256_1;;*BTTL;;;A;ARTCIC000256;;;;;Old Cham;;;;;;;;;;;;engraved;;4;;;;;XI-XII;;;;;;;;;;Photos communiquées par Olivier Tessier et Quang Van Son.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00256_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00256_2;;*BTTL;;;B;ARTCIC000256;;;;;Old Cham;;;;;;;;;;;;engraved;;2;;;;;XI-XII;;;;;;;;;;Photos communiquées par Olivier Tessier et Quang Van Son.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00257;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00257;;*QNgai1;;;;ARTCIC000257;;;;;;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;;;;"Photos Adam Bray; cf. other fragment from Chan Lo, C. 62";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00258_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00258_1;;*QNgai2;;;A;ARTCIC000258;;;;;;;;;;;;;;;;;engraved;;9;;;;;;;;;;;;;;;"Photos Adam Bray; TKP";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00258_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00258_2;;*QNgai2;;;B;ARTCIC000258;;;;;;;;;;;;;;;;;engraved;;9;;;;;;;;;;;;;;;"Photos Adam Bray; TKP";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00259;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00259;;*QNgai3;;;;ARTCIC000259;;;;;;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00260;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00260;;*QT1;;;;ARTCIC000260;;;;;Sanskrit;;;;;;;;;;;;engraved;;24 (toutes incomplètes);;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00261;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00261;;*BTC;;;;ARTCIC000261;;;;;;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;ICDN, 283.;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00262;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00262;;*QN1;;;;ARTCIC000262;;;;;;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00263;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00263;;*HoiAn;;;;ARTCIC000263;;;;;;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00264;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00264;;*LBTB;;;lat.;ARTCIC000264;;;;;;;;;;;;;;;;;engraved;;4;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00265;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00265;;*Hue1;;;;ARTCIC000265;;;;;Old Cham;;;;;;;;;;;;engraved;;4;;;;;;;;;;;;;;;Info et photos TP, septembre 2013;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00266;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00266;;;;;;ARTCIC000266;;;;;;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00267_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00267_1;;*Hue3;;;A;ARTCIC000267;;;;;Sanskrit;;;;;;;;;;;;engraved;;13;;;;;875-950;;;;;;;;Nguyễn Văn Quảng & Trần Văn Dũng 2014. — full paper by same authors;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00267_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00267_2;;*Hue3;;;b;ARTCIC000267;;;;;Unknown;;;;;;;;;;;;engraved;;?;;;;;875-950;;;;;;;;Nguyễn Văn Quảng & Trần Văn Dũng 2014. — full paper by same authors;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00267_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00267_3;;*Hue3;;;C;ARTCIC000267;;;;;Unknown;;;;;;;;;;;;engraved;;restes de 11;;;;;875-950;;;;;;;;Nguyễn Văn Quảng & Trần Văn Dũng 2014. — full paper by same authors;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00267_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00267_4;;*Hue3;;;d;ARTCIC000267;;;;;Unknown;;;;;;;;;;;;engraved;;restes de 5;;;;;875-950;;;;;;;;Nguyễn Văn Quảng & Trần Văn Dũng 2014. — full paper by same authors;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00268;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00268;;*Quy Nhon;;;;ARTCIC000268;;;;;;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00269;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00269;;;;;;ARTCIC000269;inscription rupestre;;;;;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;Parmentier, BEFEO 1923, 269;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00270;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00270;;*dharani1;;;;ARTCIC000270;;;;;;;;;;;;;;;;;incised;;;;;;;;;;;;;;;;;"Mentioned by John Guy, ""Pan-Asian Buddhism and the Bodhisattva Cult in Champa"", Singapore Campa Volume, p. 318.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00271;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00271;;*dharani2;;;;ARTCIC000271;;;;;;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00272;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00272;;*BTLSH2;;;;ARTCIC000272;;;;;Unknown;;;;;;;;;;;;engraved;;;;;;;;;;;;;;The Collection of Champa Sculpture in the National Museum of Vietnamese History (2003), cat. item 14.;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00273;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00273;;*DB;;;;ARTCIC000273;;;;;Sanskrit?;;;;;;;;;;;;engraved;;2 ou 3;;;;;8e?;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
